EpisodeId,TopicId,Topic,Score
1,1519,Fiction,0.5798245566455255
1,2015,Humour,0.565154963605359
1,24031,Laughing,0.5587120401021765
1,16693,Flirting,0.5514098189505282
1,1163,Dating and Courtship,0.5487490108554022
1,2386,Kissing,0.5476185929151934
1,31929,Puns,0.5375100569837977
2,24031,Laughing,0.5670926949850333
2,1519,Fiction,0.5396488295397263
2,3670,Random,0.5368835039525462
2,2015,Humour,0.5324623233559991
2,1163,Dating and Courtship,0.5245519307933282
2,16693,Flirting,0.5177922292744715
2,2386,Kissing,0.5020113410774445
3,1519,Fiction,0.5752948787668408
3,16693,Flirting,0.5467889068909293
3,2015,Humour,0.5410619787298159
3,1058,Conversation,0.5293359847248368
3,1011,Comedy,0.5191660373215392
3,3149,"New York, New York",0.518317480633353
3,12044,Clubbing,0.5175239530566619
4,542,Birthdays,0.5605363859250879
4,24031,Laughing,0.554526494015948
4,12796,Crying,0.5494246289141599
4,2015,Humour,0.5357422200359075
4,1775,Gossip Girl,0.5234104618617423
4,1163,Dating and Courtship,0.5144731566012491
5,24031,Laughing,0.5930932767493686
5,1011,Comedy,0.5552623811471245
5,2972,Music,0.5517689789251489
5,30386,Partying,0.5500398801543964
5,12044,Clubbing,0.5492405534715248
5,1519,Fiction,0.5382319847679108
5,3670,Random,0.5278954636702887
6,2015,Humour,0.6075227627551649
6,24031,Laughing,0.5518165051151355
6,1852,Halloween,0.5424851241277868
6,29412,Nudity,0.5243461849448309
6,16693,Flirting,0.5226302788212904
6,1163,Dating and Courtship,0.5089471701629341
6,12685,Creative Writing,0.5064297587037191
7,31929,Puns,0.535392467183642
7,2015,Humour,0.5275541865443893
7,3670,Random,0.5050299808597847
7,3149,"New York, New York",0.5044915090428224
7,12823,Cuddling,0.5033536433633289
8,1519,Fiction,0.5571861058385389
8,3670,Random,0.5295766498654566
8,2015,Humour,0.5200350671063627
8,3636,Queens,0.5161259925654993
8,4300,Swords,0.5129525060767972
9,4391,Thanksgiving,0.5627379890537525
9,31929,Puns,0.5150026253764184
10,2015,Humour,0.5930426583582913
10,1519,Fiction,0.5732562247215691
10,3670,Random,0.5595146584804342
10,12685,Creative Writing,0.5592361644509777
10,24031,Laughing,0.5561102437588942
10,1645,Friendship,0.5395542177524686
10,31929,Puns,0.5376820195570293
11,2893,Moby,0.5980050352815406
11,3241,Numbers,0.5320142568940429
11,3112,New Year's Eve,0.5230292595570559
11,30386,Partying,0.5194538076055134
11,2015,Humour,0.5159787128690352
11,24031,Laughing,0.5084612538345765
11,2386,Kissing,0.5011297452649458
12,32652,Relationships,0.5699139547887404
12,1163,Dating and Courtship,0.5615347531837245
12,4036,Ska,0.5492749339888519
12,2386,Kissing,0.5313245226626891
12,4803,Wedding Resources,0.5177435907628503
12,3670,Random,0.5123188018475939
12,1011,Comedy,0.5080256813769173
13,1519,Fiction,0.5711672894136844
13,2015,Humour,0.5579552027440922
13,24031,Laughing,0.5560282034961918
13,12796,Crying,0.5319821093408691
13,2386,Kissing,0.5319051857875298
13,1645,Friendship,0.5252670287389827
13,3670,Random,0.5248800840805661
14,16693,Flirting,0.5359518672538726
14,34671,Seduction,0.5337505713242476
14,31929,Puns,0.5296707418654465
14,32652,Relationships,0.522265508955888
14,21,Abstinence,0.5110503304825744
14,20641,Intimacy,0.5061722474680185
15,869,Cheating,0.5436011601419516
15,4118,South Park,0.5205215066636953
15,1519,Fiction,0.51397664011085
15,32652,Relationships,0.5128597371120388
15,1163,Dating and Courtship,0.5097115578457844
15,2613,Lying,0.5094380201385955
16,1163,Dating and Courtship,0.5662147584065558
16,3670,Random,0.5552505339112115
16,32652,Relationships,0.5429006193160754
16,869,Cheating,0.5184050016028604
16,4688,Vanity Fair,0.5026765778329625
17,32089,R (programming language),0.5239385796783601
17,24031,Laughing,0.5234701270837662
18,24031,Laughing,0.5529824455427977
18,16693,Flirting,0.5479939074758745
18,869,Cheating,0.5451557251457307
18,1163,Dating and Courtship,0.5440887310281376
18,2015,Humour,0.5417505838603858
18,816,CBS,0.5319646271643744
18,42435,Webcomic,0.5270299616944287
19,1163,Dating and Courtship,0.5410357693246118
19,2015,Humour,0.5248015977641253
19,32652,Relationships,0.5124315621197322
19,16693,Flirting,0.5094087743892426
19,3670,Random,0.5074149088809388
19,24031,Laughing,0.5040834182622727
20,4036,Ska,0.5776682754838172
20,1163,Dating and Courtship,0.5372437365103517
20,3790,Rock Music,0.526888899348683
20,2077,Indie Rock,0.5137914088029941
20,3670,Random,0.5045887262956509
20,2480,Led Zeppelin,0.5027838779042889
21,1163,Dating and Courtship,0.511574619053862
23,24031,Laughing,0.5445600475382842
23,4170,Stalking ,0.5313688440938324
23,2015,Humour,0.5145351942189924
23,32652,Relationships,0.5081412763131238
23,12796,Crying,0.5033602908267845
24,32652,Relationships,0.5177250905482083
24,16693,Flirting,0.5121648612352487
24,4036,Ska,0.5100122729141005
24,24031,Laughing,0.5091346191623222
24,12685,Creative Writing,0.50737199076837
24,1058,Conversation,0.506337337631235
24,3900,"San Francisco, California",0.5004080761479989
25,1488,Families and Family Life,0.5715099775071563
25,1499,Father's Day,0.5524004334881096
25,27711,Motherhood,0.5430244129031337
25,3382,Parenting,0.5301494755185815
25,2015,Humour,0.5063814793614007
26,869,Cheating,0.5047381525222111
27,32652,Relationships,0.5469143688792936
27,2015,Humour,0.5334369174886365
27,16693,Flirting,0.5295954964759353
27,24031,Laughing,0.5233302905845569
27,1163,Dating and Courtship,0.5135060102136606
27,1488,Families and Family Life,0.5056882562615278
30,24031,Laughing,0.5277262733286496
30,16693,Flirting,0.5016062110560295
31,3670,Random,0.5366236399407263
31,12796,Crying,0.5330341952481993
31,16693,Flirting,0.5271594000126395
31,24031,Laughing,0.511302413407309
31,1645,Friendship,0.5089386995760327
31,4118,South Park,0.505638115127491
31,40,Adultery,0.5046858357291029
32,32047,Queer,0.5322098875491916
32,17548,Gays,0.5273685532245297
32,2761,Men,0.5182860426603328
32,16693,Flirting,0.50535054768515
32,32652,Relationships,0.5046313405628814
32,1488,Families and Family Life,0.5010632203233639
33,12685,Creative Writing,0.5531927207738031
33,31929,Puns,0.5411405074952346
33,2015,Humour,0.5283459321813618
33,1645,Friendship,0.5259454891320953
33,1059,Cookies,0.515476189947618
33,927,Christmas,0.5153741875407047
33,1952,Holidays and Special Occasions,0.5093604323654863
34,1410,Empire State Building,0.6038297506293256
34,1163,Dating and Courtship,0.5333254979917018
34,4118,South Park,0.5215660125810532
34,32652,Relationships,0.5214430200503455
34,3149,"New York, New York",0.5208709866517943
35,542,Birthdays,0.5228955439035902
35,3240,Nudism and Nudity,0.5210341080300613
35,24031,Laughing,0.5111360695919368
35,31929,Puns,0.5078671594454925
35,42435,Webcomic,0.5026204888780325
36,3165,NFL,0.5210217779220131
36,4269,Super Bowl,0.5162191720210585
38,2015,Humour,0.5415365011758955
38,1163,Dating and Courtship,0.5303586654440361
38,4940,Yelp,0.5264424792116754
38,32652,Relationships,0.516150981262807
38,1645,Friendship,0.5160476800922461
38,4118,South Park,0.5064731638795738
38,4410,Theater,0.5036291606328585
39,33059,Road Trips,0.5452518696470021
39,4118,South Park,0.5175396969675142
39,31929,Puns,0.5156593923033077
39,14646,Driving,0.5121371645992671
39,24031,Laughing,0.5048036913078046
39,1645,Friendship,0.5025483995671093
40,4036,Ska,0.5870104821960468
40,2015,Humour,0.5330166426979872
40,3670,Random,0.5228585623512751
40,4118,South Park,0.5193338692727923
42,1488,Families and Family Life,0.5426786765702492
42,24031,Laughing,0.5299624674193556
42,40149,Toast,0.5207234760095567
43,4803,Wedding Resources,0.5317799496650478
43,3670,Random,0.5142330407324259
43,24031,Laughing,0.5008179071836919
44,1519,Fiction,0.5026256986384643
44,3385,Paris Hilton,0.5009216561564092
45,24031,Laughing,0.5451391841613338
45,4328,Tattoos,0.5354035668955212
45,31929,Puns,0.5245716657700804
45,16693,Flirting,0.5232224298668501
45,3670,Random,0.5084741415838596
45,1519,Fiction,0.5031578985173177
46,2015,Humour,0.5551138178246537
46,3670,Random,0.5378872769844439
46,3149,"New York, New York",0.5335980329923681
46,1645,Friendship,0.5080165349725229
46,9536,Boredom,0.505803518590364
46,4124,Southern,0.5038305297069854
46,24031,Laughing,0.5002176814395205
47,31929,Puns,0.5644874789549017
47,24031,Laughing,0.563750728496255
47,2015,Humour,0.5574023334620054
47,1519,Fiction,0.5336284519326913
47,3670,Random,0.5296161496793652
47,1533,Fingers,0.5239536831473689
47,1011,Comedy,0.5155287099408193
48,2015,Humour,0.5709863197491439
48,24031,Laughing,0.5362650486353646
48,1163,Dating and Courtship,0.5235379529406752
48,4036,Ska,0.5212546563622371
48,31929,Puns,0.5199499152021196
48,3149,"New York, New York",0.5070258705584404
49,1519,Fiction,0.5805492382995713
49,1163,Dating and Courtship,0.5686826055160537
49,2015,Humour,0.5558813166642079
49,12685,Creative Writing,0.5383525700770462
49,24031,Laughing,0.5334475859816769
49,3164,Next,0.5240836660893997
49,3670,Random,0.5193652959383137
50,3670,Random,0.5071148826735754
51,2015,Humour,0.5222746640933431
51,4118,South Park,0.50792782428183
52,2015,Humour,0.553419380822771
52,24031,Laughing,0.5004729827574949
53,4391,Thanksgiving,0.5579827583455779
53,24031,Laughing,0.5429535283896246
53,3670,Random,0.5301014619074653
53,2015,Humour,0.520036389279639
53,748,Canada,0.5024617108571726
54,2761,Men,0.5213509868899165
54,3670,Random,0.5174966696736335
54,2015,Humour,0.5118801425985896
54,16693,Flirting,0.5106043709379244
55,16693,Flirting,0.5456711594414245
55,24031,Laughing,0.5338533426558488
55,1163,Dating and Courtship,0.5160483201741087
55,12796,Crying,0.5057142547753365
57,16693,Flirting,0.5415096310662804
57,4118,South Park,0.5327090591532251
57,2015,Humour,0.518483261018393
57,31929,Puns,0.5160349833175459
57,1163,Dating and Courtship,0.5142991402762062
57,4328,Tattoos,0.5037600095492308
57,24031,Laughing,0.5018269822139568
58,1519,Fiction,0.520637410460231
58,16693,Flirting,0.5052056204640574
58,4118,South Park,0.5034747373181957
58,3241,Numbers,0.5016916715019143
59,689,Bullies,0.5150154503359617
59,24031,Laughing,0.5093820502252853
59,31767,Procrastination,0.5075553512531349
59,1499,Father's Day,0.501508200857525
59,27711,Motherhood,0.5004617139788385
60,24031,Laughing,0.5446907309880875
60,3790,Rock Music,0.5364644241548508
60,4036,Ska,0.5279134194689871
60,4118,South Park,0.5101516217807962
61,4118,South Park,0.5073582852529767
62,24031,Laughing,0.5419161469074925
62,4118,South Park,0.5352704677585794
62,2015,Humour,0.5281450434120732
62,3670,Random,0.5274945351057273
62,12796,Crying,0.5261868851775199
62,31929,Puns,0.5151618413029037
63,3360,Paints and Painting,0.5246055135257227
63,4118,South Park,0.5234981969533766
63,4448,TMZ,0.521126137603173
63,1163,Dating and Courtship,0.5173763987475314
63,42435,Webcomic,0.5029224019995543
64,1488,Families and Family Life,0.5398481315546255
64,2015,Humour,0.5361245174106646
64,32652,Relationships,0.5161419911958384
64,3382,Parenting,0.5138140464833516
64,1645,Friendship,0.5099120539081038
64,3670,Random,0.5088221845927533
64,42435,Webcomic,0.5087715190694644
65,2386,Kissing,0.5178622030161381
65,24031,Laughing,0.5093231242369817
65,4185,Star Wars,0.5068084639073863
66,695,Burgers,0.5869477789760168
66,1856,Hamburgers,0.5177933769939411
66,3249,NYC Food,0.5142092269095343
66,3113,New York,0.5050233522672545
67,3113,New York,0.5206782203893596
67,3149,"New York, New York",0.5051095879456252
69,1488,Families and Family Life,0.5445132106255752
70,2386,Kissing,0.538641015924557
70,16693,Flirting,0.5124620565336359
70,1645,Friendship,0.5081443074707584
70,1519,Fiction,0.506698464542771
71,1499,Father's Day,0.5748073715087999
71,1488,Families and Family Life,0.5474931501292265
71,386,Babies,0.529334040830419
71,3670,Random,0.5166571898396256
71,27711,Motherhood,0.5132143819961577
71,3382,Parenting,0.510282024231255
71,12796,Crying,0.5090548338486862
73,1163,Dating and Courtship,0.5471802636562605
73,32652,Relationships,0.5468217693666608
73,3240,Nudism and Nudity,0.5401634635493806
73,24031,Laughing,0.5350361540200764
73,16693,Flirting,0.5302688975173739
73,1011,Comedy,0.5234289286508789
73,2598,Love,0.5222000564360272
74,12685,Creative Writing,0.5381207417426312
74,2015,Humour,0.5326740830819355
74,1519,Fiction,0.5158177724505757
74,1011,Comedy,0.5055141612930537
74,4118,South Park,0.5019361973089361
74,24031,Laughing,0.5003756694654491
75,2858,Minnesota,0.5147722244773002
76,1645,Friendship,0.5297589447197271
76,2598,Love,0.5211625341437839
76,12796,Crying,0.5179813932989101
76,31767,Procrastination,0.5154486455350996
76,3382,Parenting,0.5152765760225331
76,3670,Random,0.5036540270740407
76,32652,Relationships,0.5020328596845992
77,32652,Relationships,0.5174509678599137
77,2015,Humour,0.5014214763517707
79,1488,Families and Family Life,0.5704421209115906
79,3382,Parenting,0.5327407778434752
79,4410,Theater,0.531679117988102
79,12796,Crying,0.5217663974416292
79,27711,Motherhood,0.5213324089568907
79,2936,Mother's Day,0.5162470905732539
79,5618,Acting,0.5044268183147974
80,2015,Humour,0.5263885222989414
80,24031,Laughing,0.512335588602971
80,1011,Comedy,0.5051357003539519
80,2386,Kissing,0.5002166179189323
81,32652,Relationships,0.543545034181359
81,1519,Fiction,0.5144725180321386
81,1011,Comedy,0.5087320994913423
83,24031,Laughing,0.5178044466664797
83,3382,Parenting,0.5103932260728107
84,2015,Humour,0.5038310595827447
85,2015,Humour,0.6181303432391383
85,37745,Texting,0.5594372436725438
85,1163,Dating and Courtship,0.5478158648671149
85,3670,Random,0.53860175020644
85,16693,Flirting,0.5383409156756118
85,24031,Laughing,0.5312462322719169
85,12823,Cuddling,0.522495036526014
87,31929,Puns,0.515735589488865
87,1488,Families and Family Life,0.5035343235788521
87,2613,Lying,0.5011304035060538
88,1519,Fiction,0.5130359942161337
89,2386,Kissing,0.5626982137070883
89,3670,Random,0.5543332803761643
89,1163,Dating and Courtship,0.5485994520825164
89,16693,Flirting,0.5482184357010711
89,24031,Laughing,0.5386322253835946
89,1645,Friendship,0.5220270844469123
89,4118,South Park,0.5220200009371159
90,3670,Random,0.5837795338822349
90,24031,Laughing,0.5685973411851023
90,1163,Dating and Courtship,0.5529702993702799
90,2015,Humour,0.5218630865897433
90,32652,Relationships,0.5160503835416722
90,1011,Comedy,0.5109342445854813
90,31929,Puns,0.5078134239934183
91,24031,Laughing,0.5630170567538718
91,869,Cheating,0.561817746662726
91,16693,Flirting,0.5316557636790509
91,3670,Random,0.5054780131949475
91,2015,Humour,0.5039783916308669
92,3670,Random,0.5499669109599641
92,2015,Humour,0.5455688979144407
92,8449,Beards,0.5294874953247599
92,24031,Laughing,0.5177871764577963
93,1519,Fiction,0.5009956052245357
94,1645,Friendship,0.507018790614896
94,27711,Motherhood,0.501354661231213
96,16693,Flirting,0.5059462461658516
96,1519,Fiction,0.5019870819330543
97,1488,Families and Family Life,0.5368616705793239
97,1791,Grandparents,0.5183611172050372
97,1519,Fiction,0.5156091715570945
97,3382,Parenting,0.5147345705419196
97,3670,Random,0.503343046274939
98,1519,Fiction,0.5326732434893563
98,32652,Relationships,0.5229863822608113
98,16693,Flirting,0.5109549307594217
98,2015,Humour,0.5058820729542975
100,1775,Gossip Girl,0.5315211612710172
100,16693,Flirting,0.5258097195548437
100,2761,Men,0.5233790747372162
100,1305,Dreams,0.513277376498676
100,34671,Seduction,0.5051429799136251
100,27711,Motherhood,0.5012952832718768
101,16693,Flirting,0.507454939625413
103,16693,Flirting,0.542229388319713
103,4676,Valentine's Day,0.539340568939863
103,1163,Dating and Courtship,0.5347344854622892
103,40,Adultery,0.5338189697110814
103,12823,Cuddling,0.5045253836940097
103,32652,Relationships,0.5033347118849132
103,4031,Single Persons,0.5011365636302293
104,16693,Flirting,0.5196576304158815
105,1163,Dating and Courtship,0.556950646038464
105,16693,Flirting,0.5323605441017659
105,32652,Relationships,0.5113558921323939
105,1437,Erotica,0.5108821509074601
105,35372,Singing,0.5106286546829493
105,12796,Crying,0.5079963535065578
106,3670,Random,0.5707206622348847
106,542,Birthdays,0.5308869520648247
106,1488,Families and Family Life,0.51809298878622
106,12883,Cuteness,0.5140773758749877
106,3385,Paris Hilton,0.5073362641908268
107,2613,Lying,0.5362681730455076
107,2015,Humour,0.5217088540917988
107,3963,"Seattle, Washington",0.5170143012592765
108,31929,Puns,0.5375710765716036
108,1488,Families and Family Life,0.5238160415492893
108,24031,Laughing,0.5198468834190136
108,2015,Humour,0.5163531318350741
108,27711,Motherhood,0.5097458383374219
108,4118,South Park,0.5029556469935421
109,8476,Bed,0.5806449111414506
109,3670,Random,0.5252462159260328
109,1645,Friendship,0.5236481720374989
109,2015,Humour,0.5220437298522006
109,1163,Dating and Courtship,0.5077606230116102
109,32652,Relationships,0.5025172044489372
111,1011,Comedy,0.5336154653568486
111,2386,Kissing,0.5169213662834785
112,1011,Comedy,0.5322207955782657
112,2386,Kissing,0.5174314880483677
113,1163,Dating and Courtship,0.546717497024548
113,27711,Motherhood,0.5299759370148819
113,16693,Flirting,0.5269950740245017
113,4118,South Park,0.5241588613520467
113,3670,Random,0.5107892154762972
113,1499,Father's Day,0.5047305145295828
113,4170,Stalking ,0.5013892055182062
114,3382,Parenting,0.5655556446853262
114,1488,Families and Family Life,0.5442364309687733
